RA,DEC,R500,M500,Z
340.7208,53.0181,1.0525,401160000000000.0,0.192
90.5062,53.2633,0.7205,111670000000000.0,0.051
109.1775,53.4078,0.7148,110430000000000.0,0.0644
141.795,53.45,1.019,369240000000000.0,0.2052
236.0208,53.7742,0.4455,28020000000000.0,0.112
228.5563,55.4642,0.6158,110630000000000.0,0.4753
228.73,55.6911,0.7039,182480000000000.0,0.559
249.9808,53.7986,0.756,136780000000000.0,0.111
203.1671,54.3206,0.7811,149440000000000.0,0.1017
162.2612,54.4,0.5849,73370000000000.0,0.251
163.4329,54.8722,0.7321,119370000000000.0,0.0704
168.8867,54.435,0.7014,104840000000000.0,0.0691
191.8425,55.0108,0.6931,102540000000000.0,0.083
219.2429,55.1292,0.5751,61070000000000.0,0.125
179.5488,55.3625,0.422,24370000000000.0,0.135
179.9629,55.5322,0.6019,67000000000000.0,0.0808
176.8363,55.7433,0.6206,71380000000000.0,0.051
115.2475,55.4319,0.7601,129020000000000.0,0.034
205.9387,55.6392,0.6125,70320000000000.0,0.0766
205.8658,55.7819,0.432,24440000000000.0,0.0673
152.7425,55.9625,0.4699,34910000000000.0,0.171
173.0817,55.9789,0.6838,95610000000000.0,0.0527
303.8279,56.1592,0.7996,157250000000000.0,0.082
299.3079,57.8536,0.8175,169060000000000.0,0.088
124.9779,56.5775,0.7481,155050000000000.0,0.26
125.1108,56.7575,0.3727,15340000000000.0,0.0429
124.7408,56.9094,0.6034,81350000000000.0,0.26
260.8467,56.9783,0.4279,22870000000000.0,0.0272
275.9308,56.9739,0.5385,49150000000000.0,0.105
158.4658,57.0531,0.3505,12800000000000.0,0.0463
159.0471,57.2253,0.6329,88250000000000.0,0.203
163.3267,57.3464,0.4937,48740000000000.0,0.34
248.4167,57.2436,0.4749,38750000000000.0,0.239
255.7892,59.6478,0.4867,39260000000000.0,0.1822
180.5571,57.8647,0.7442,248280000000000.0,0.677
133.3058,57.9956,0.7764,221690000000000.0,0.475
137.5671,60.2047,0.5768,65270000000000.0,0.181
202.7463,58.2489,0.6832,124840000000000.0,0.31
168.5992,58.3897,1.02,370850000000000.0,0.2065
202.4925,58.5692,0.6114,88680000000000.0,0.302
253.6946,58.9017,0.7017,106780000000000.0,0.0869
207.7096,60.1256,0.7246,264190000000000.0,0.796
114.4225,59.3403,0.4697,30580000000000.0,0.0384
173.5592,59.8764,0.602,83500000000000.0,0.29
144.2758,61.2828,0.5371,54000000000000.0,0.204
276.8167,61.5814,0.7209,117460000000000.0,0.1014
279.5525,63.3506,0.7239,134020000000000.0,0.2167
209.8921,62.3169,0.8713,265470000000000.0,0.332
209.3308,62.545,0.7813,239640000000000.0,0.525
164.71,62.3983,0.6421,110970000000000.0,0.37
186.5921,62.4106,0.7096,154640000000000.0,0.398
186.9604,63.3831,0.8638,211300000000000.0,0.1454
273.2979,62.5092,0.5711,63470000000000.0,0.1829
268.9563,62.6136,0.4738,31040000000000.0,0.0266
268.9854,63.2342,0.7084,151590000000000.0,0.385
270.725,63.6528,0.3693,15630000000000.0,0.0907
273.035,63.8931,0.7406,207960000000000.0,0.5408
271.8846,64.4881,0.5465,59060000000000.0,0.2391
272.8296,64.7933,0.6937,153730000000000.0,0.451
268.5221,64.8669,0.5443,58810000000000.0,0.246
268.8329,65.0819,0.4016,19980000000000.0,0.0846
269.74,65.3494,0.5425,66540000000000.0,0.3652
271.7329,65.6197,0.822,206340000000000.0,0.263
272.1817,65.9514,0.5246,52660000000000.0,0.246
202.8792,62.64,0.6664,104810000000000.0,0.219
201.3121,65.8414,0.5408,53730000000000.0,0.18
135.2983,62.6561,0.7182,114850000000000.0,0.09
193.27,62.8028,0.6873,116960000000000.0,0.235
123.9992,62.8858,0.7477,164010000000000.0,0.312
124.9129,63.61,0.9026,234680000000000.0,0.119
221.0271,63.7483,0.6931,128620000000000.0,0.298
265.8671,63.6942,0.8415,237790000000000.0,0.327
266.89,63.7319,0.6699,120090000000000.0,0.328
279.1271,63.7481,0.7483,129090000000000.0,0.0834
278.4358,65.3603,0.6339,84940000000000.0,0.1621
275.6558,66.6914,0.4363,25710000000000.0,0.0888
239.7917,63.885,0.6639,216650000000000.0,0.85
235.0421,66.1883,0.7458,151120000000000.0,0.245
263.7725,64.1014,0.8271,184530000000000.0,0.1406
259.1654,64.1764,0.7108,131610000000000.0,0.2507
265.8471,64.6717,0.672,103010000000000.0,0.179
255.5554,64.3333,0.5301,53050000000000.0,0.224
255.4421,64.3542,0.4678,36300000000000.0,0.22
164.9975,64.3522,0.5436,55260000000000.0,0.192
130.2808,64.3781,0.7908,200970000000000.0,0.343
219.7108,64.3942,0.6071,73370000000000.0,0.146
146.0075,64.4117,0.8006,163890000000000.0,0.12
149.4717,65.575,0.6842,161920000000000.0,0.53
269.1292,65.2169,0.2847,6740000000000.0,0.0284
268.05,65.3728,0.5895,88090000000000.0,0.3923
267.7858,65.5331,0.4032,19430000000000.0,0.0428
266.3175,65.9381,0.6303,138910000000000.0,0.608
268.6904,66.3981,0.4353,25510000000000.0,0.0879
269.3325,66.5275,0.5621,108790000000000.0,0.6909
266.6875,66.6556,0.6226,103070000000000.0,0.3864
267.9108,67.3219,0.5821,61350000000000.0,0.0933
271.065,67.4892,0.2957,7800000000000.0,0.0617
265.695,67.5981,0.4182,21650000000000.0,0.042
274.9533,67.8133,0.5786,68330000000000.0,0.2153
268.9396,67.8783,0.5947,64770000000000.0,0.0833
264.0921,68.0572,0.4347,23920000000000.0,0.0248
271.5275,68.2189,0.6896,127360000000000.0,0.303
267.4575,68.3875,0.3409,11820000000000.0,0.0508
274.4421,68.4067,0.8809,259340000000000.0,0.282
275.4087,68.4644,0.6661,210040000000000.0,0.8156
266.6375,68.8139,0.5845,77910000000000.0,0.307
266.5792,68.8306,0.6065,77670000000000.0,0.203
275.0446,68.9556,0.7036,107670000000000.0,0.087
269.8229,69.0389,0.4361,25950000000000.0,0.0994
268.6458,69.0828,0.6286,122810000000000.0,0.5113
274.7921,69.1608,0.675,107290000000000.0,0.205
274.135,69.1928,0.5723,65730000000000.0,0.2097
270.1283,69.2236,0.6875,99970000000000.0,0.0823
273.5738,69.6594,0.6082,69510000000000.0,0.0863
271.8671,69.7728,0.4574,29780000000000.0,0.0941
274.285,70.4036,0.4617,30400000000000.0,0.0859
271.6037,70.4778,0.5306,46650000000000.0,0.0971
291.8758,65.8322,0.8762,230640000000000.0,0.1886
175.0996,66.1386,0.6865,221590000000000.0,0.7843
170.5604,67.2128,0.5269,43880000000000.0,0.056
176.1675,67.41,0.9197,247470000000000.0,0.1159
180.0321,68.1519,0.7781,175400000000000.0,0.265
235.295,66.4417,0.7275,140270000000000.0,0.245
111.23,66.9786,0.7326,121470000000000.0,0.0863
156.08,68.0822,0.7769,162920000000000.0,0.201
150.5321,68.98,0.7786,230240000000000.0,0.5
261.1971,67.2692,0.5741,69620000000000.0,0.254
260.3525,67.5539,0.4013,19950000000000.0,0.0861
254.9042,68.4375,0.5536,50620000000000.0,0.0504
243.6037,68.4281,0.4451,28400000000000.0,0.128
278.0554,68.5406,0.6183,81860000000000.0,0.1981
278.1442,68.8033,1.036,387950000000000.0,0.205
283.5275,68.9714,0.9294,291370000000000.0,0.2415
277.2654,69.2306,0.8418,208290000000000.0,0.2057
279.8225,70.3056,0.6084,80670000000000.0,0.2297
208.7046,69.2889,0.5191,48900000000000.0,0.207
194.3338,69.5064,0.92,278160000000000.0,0.227
184.3108,69.6697,0.432,25420000000000.0,0.107
148.4358,69.7914,0.6224,84940000000000.0,0.214
147.5321,70.5661,0.7086,124770000000000.0,0.21
148.4,70.9081,0.837,200270000000000.0,0.185
232.0154,69.9422,0.8125,170240000000000.0,0.1136
261.0667,69.9456,0.324,10040000000000.0,0.0386
261.0483,70.0075,0.3189,9570000000000.0,0.0386
267.8779,70.2256,0.6964,163300000000000.0,0.4925
267.2646,70.245,0.7956,269830000000000.0,0.579
267.1733,70.3419,0.6627,118520000000000.0,0.345
262.1646,70.6847,0.82,285690000000000.0,0.5509
262.6208,74.375,0.7198,117910000000000.0,0.11
262.2529,74.6778,0.6321,88850000000000.0,0.213
114.7463,69.9472,0.6403,83600000000000.0,0.117
130.4308,70.7814,0.5698,66670000000000.0,0.235
124.8442,70.9133,0.5774,68680000000000.0,0.226
278.5392,70.9578,0.7006,105830000000000.0,0.0824
110.2242,71.1492,0.6522,99410000000000.0,0.23
191.5217,70.9644,0.9124,270770000000000.0,0.225
110.0742,71.5364,0.6532,104130000000000.0,0.268
107.0317,71.8569,0.8015,162040000000000.0,0.1053
345.6879,71.6206,1.0162,343830000000000.0,0.145
241.3821,72.1467,0.836,189170000000000.0,0.1332
173.4875,75.1161,0.7682,145120000000000.0,0.122
185.0721,75.37,0.2237,3210000000000.0,0.0059
185.5292,75.4381,0.6254,88610000000000.0,0.24
172.0054,75.4903,0.8679,218650000000000.0,0.165
186.0729,75.5275,0.1497,960000000000.0,0.0056
140.0942,73.8367,0.781,154160000000000.0,0.133
292.5479,74.0597,0.6361,98630000000000.0,0.291
295.4292,77.1625,0.2933,7510000000000.0,0.048
302.4758,77.7417,0.6769,126470000000000.0,0.3461
300.66,77.8961,0.8479,249430000000000.0,0.3492
124.1283,74.4039,0.7443,156440000000000.0,0.282
142.0204,74.7828,0.8152,173720000000000.0,0.124
144.5667,75.8872,0.7553,141960000000000.0,0.1503
17.0046,75.9778,0.9304,251210000000000.0,0.096
259.5425,78.0219,0.7161,110410000000000.0,0.0584
286.4329,78.0831,1.0176,343700000000000.0,0.1405
280.8779,79.8325,0.4249,22910000000000.0,0.051
112.4421,79.2536,0.7411,128190000000000.0,0.1058
177.9179,81.0772,0.5136,51850000000000.0,0.29
145.5883,81.1858,0.8016,265050000000000.0,0.545
250.2958,82.5406,0.8446,210420000000000.0,0.206
8.9971,85.2214,0.6659,213970000000000.0,0.8317
11.5808,85.5158,0.7739,262120000000000.0,0.6241
