RA,DEC,R500,M500,Z
25.3846,-30.5783,0.8396,269690000000000.0,0.442
336.9683,-30.57,0.8413,178960000000000.0,0.0579
299.5617,-30.1894,1.0894,411840000000000.0,0.1171
305.2079,-30.0336,1.0154,366110000000000.0,0.2073
167.5192,-29.9517,0.6172,81580000000000.0,0.2
168.2738,-26.26,0.6638,186570000000000.0,0.725
182.075,-29.6333,0.7179,124520000000000.0,0.171
12.35,-29.5244,0.9086,236820000000000.0,0.1084
13.5117,-28.3994,0.6315,96610000000000.0,0.292
14.2338,-27.67,0.6481,143120000000000.0,0.563
36.2938,-29.4739,0.7192,112070000000000.0,0.0604
11.3283,-29.4006,0.7609,162590000000000.0,0.257
9.3625,-28.5311,0.7476,131460000000000.0,0.105
193.02,-29.3475,0.6336,87150000000000.0,0.188
193.5979,-29.0228,0.8018,154350000000000.0,0.0542
76.3329,-28.8181,0.6788,154200000000000.0,0.509
76.5167,-28.6806,0.5583,56510000000000.0,0.136
76.4925,-28.4339,0.5159,44350000000000.0,0.131
80.2938,-25.51,0.7704,245570000000000.0,0.581
357.0542,-28.8169,0.9489,304880000000000.0,0.226
39.3717,-26.5047,1.0365,395430000000000.0,0.2216
41.0262,-26.1853,0.8714,214890000000000.0,0.1362
84.7679,-28.5514,0.628,91110000000000.0,0.254
218.7525,-28.3656,0.737,121610000000000.0,0.0689
216.9146,-25.3508,0.94,330000000000000.0,0.318
315.4529,-28.035,0.6789,92290000000000.0,0.0382
310.81,-26.49,0.6164,69270000000000.0,0.0408
337.4392,-27.9267,1.06,473660000000000.0,0.324
333.2717,-27.8997,0.6747,92580000000000.0,0.061
222.1508,-27.8194,0.734,133630000000000.0,0.175
159.1742,-27.5244,0.7015,99440000000000.0,0.0126
126.6154,-27.355,0.7625,131150000000000.0,0.041
211.8671,-27.0153,0.7189,108060000000000.0,0.023
149.5071,-26.8381,0.8353,190960000000000.0,0.145
194.7075,-26.6675,0.8057,160050000000000.0,0.0767
146.1525,-26.5656,1.0416,369170000000000.0,0.1421
14.3529,-26.2806,0.8165,172670000000000.0,0.113
85.5387,-26.1236,0.6611,85300000000000.0,0.039
86.3633,-25.9389,0.5533,50180000000000.0,0.0424
86.0554,-25.9278,0.6538,103500000000000.0,0.26
3.85,-23.845,0.6888,98840000000000.0,0.0645
