RA,DEC,LAMBDA,Z
251.02800212853265,45.99814854065247,74.60103607177734,
248.43528866968452,49.13759998051223,34.14484405517578,
248.38114295219148,44.43027737642606,74.20440673828125,0.5015873908996582
246.59265310530066,48.59929350287851,65.14295196533203,
253.90721982466232,46.27858482811884,33.9312744140625,0.45183759927749634
245.15718930383682,47.76596614175291,35.975440979003906,
245.95207823895186,46.29534364996772,42.77915954589844,0.4818727672100067
253.94523406785072,45.420940692624086,38.004356384277344,0.28654032945632935
248.47215113457548,48.35971038869343,30.148042678833008,
246.51666990372883,44.6002040439702,30.43788719177246,0.4767484664916992
247.18015298619179,47.318358126785654,32.344757080078125,
198.5820896572674,-1.4572347972224349,45.799644470214844,0.180155947804451
198.25800104541435,-3.424698416689407,38.53827667236328,
198.0566123810696,-0.9744869077507571,32.93970489501953,0.08436205238103867
197.75747502499453,-3.1777090289005923,63.129295349121094,0.49133431911468506
199.05338413948823,-0.9336846051297198,33.13801574707031,
198.35375779429643,-2.928471191642202,38.248435974121094,0.42488107085227966
198.41986102988105,-1.2296215365230645,33.290565490722656,0.3967667520046234
197.5609031799545,-2.181706498515477,66.75997924804688,
198.58864252300506,0.7831537165746382,58.52229309082031,0.5597901344299316
197.42661402117795,-2.703786382698911,34.67877197265625,0.41287386417388916
198.69528381409108,-1.6634863886983093,64.1208724975586,
199.075100135186,0.5683152592709961,32.52781677246094,0.41164249181747437
197.84308840299593,0.07402529136799686,41.879119873046875,0.4973300099372864
199.49329947030117,0.1664538757887863,38.217926025390625,
198.29942617445477,1.0016228610276188,30.209062576293945,0.45029735565185547
136.6871742577847,10.317327363252254,72.495849609375,0.1374417543411255
136.31734599433776,10.330723701039753,59.77320098876953,0.1765669584274292
137.16339725236028,6.9977824907263315,60.00202941894531,0.22263383865356445
138.04673557562737,13.644154442094408,55.37976837158203,0.178045853972435
137.97693822518124,10.963583068229275,54.22039031982422,0.1641707867383957
140.06322230172336,8.460475089996818,139.48043823242188,0.4983331561088562
139.48926264235723,9.853229082668701,49.59813690185547,
131.92616119033613,13.491790033192421,63.876792907714844,0.3468218445777893
134.4003789585742,10.007797911158242,39.636634826660156,0.16343939304351807
137.23733115756744,13.334624717968103,80.97761535644531,0.4067578911781311
134.88598106906582,8.143806002403876,113.21138000488281,
135.0445796178176,8.73695643392593,42.77915954589844,0.36693790555000305
139.01001184898809,10.844727413953478,38.64506530761719,0.182242751121521
134.22697005373206,7.9516427730592705,68.77363586425781,0.35481026768684387
134.28422210603856,9.982815542522138,72.38906860351562,0.4369419515132904
132.18052324559739,10.279676483674573,63.373374938964844,0.4204244017601013
137.7780514391227,7.308907066060574,96.09529876708984,0.5081744194030762
134.78494291255296,13.67559632237642,62.610626220703125,
140.43206328823993,9.471172194528457,37.226348876953125,0.2316761314868927
138.5241308514713,10.546518932126995,30.4989070892334,0.18055328726768494
137.53724551925765,14.158884007242092,36.90599822998047,
138.69944793613018,11.866362546936372,31.09385108947754,0.4025746285915375
133.61969331092558,10.137426998322457,34.770301818847656,0.29782432317733765
140.33188265572045,10.549155168723292,79.02497863769531,0.5000068545341492
139.61679618446485,8.66766152709572,32.03965759277344,0.26556894183158875
137.96048635117324,13.24304511195626,38.919654846191406,0.3084576427936554
137.4861194019657,14.31129715897064,32.634605407714844,0.29999199509620667
135.69474170816818,14.393530439916125,33.21429443359375,0.3155691623687744
136.61014242454453,9.254678021957165,40.124794006347656,0.38782569766044617
133.13911808846441,9.803541608399563,39.880714416503906,0.35611745715141296
134.76653692085395,8.192317508530671,36.08222961425781,0.359320729970932
136.4619005219226,13.996399949719802,36.982269287109375,0.3712206184864044
132.82089687829637,14.248634248232532,54.571258544921875,0.4846639037132263
136.81572241313017,12.600931016012145,31.79557991027832,0.3896191418170929
137.86354787516171,7.529671528825133,66.97354888916016,0.5077592134475708
137.05991643058772,13.294959041797718,50.84904479980469,
135.02855307811603,9.739543067926164,33.74821472167969,0.4778076410293579
140.41993227230103,9.457209712362683,41.23841094970703,0.4860735535621643
134.82943817173677,9.903569238647028,46.45561218261719,
134.10583477987643,8.002801603370846,44.274147033691406,0.3553803265094757
134.92252774335174,9.56313894752381,49.09471893310547,0.44894683361053467
140.23372782820385,9.772248536907897,30.514162063598633,
134.74001482086834,14.18374212253897,40.97907257080078,
133.85440996851673,8.009164901976911,42.153709411621094,0.48667317628860474
138.16062855147098,7.278650182379722,51.06261444091797,
139.34540473372743,9.948581586762845,40.30785369873047,
133.70961891380372,11.938564787674796,41.69606018066406,
137.96065824885807,7.185212610618355,44.39618682861328,0.4919818341732025
130.90039404187075,12.490377103226283,32.9549560546875,
134.94192170142182,11.07823219330875,44.25889587402344,
133.90601659558186,11.461357532846428,56.264556884765625,
132.6806399261104,10.757047227262115,37.91282653808594,
134.5253929682067,14.50401988085194,45.082664489746094,0.5116482377052307
137.80592324581644,6.9532304314420665,61.649566650390625,
140.1380919359935,9.845529828616323,32.03965759277344,0.4445161521434784
135.00016291903086,7.74524772872135,30.81926155090332,0.34992560744285583
139.40048199068653,9.306216697298472,44.25889587402344,0.49810150265693665
135.4327080733257,9.303547237122833,37.57721710205078,0.4874514043331146
137.3867720040577,12.122568033922,57.957862854003906,
